ID,Nama Pelanggan,Tanggal Pembelian,Jumlah Pembelian
114,Jordan Williams,05/04/2022,216
115,Daniel Sampson,12/08/2022,557
116,Daniel Sampson,26/02/2022,278
117,Colleen Bishop,05/07/2022,822
118,Michael Allen,06/05/2022,429
119,Jordan Rodriguez,22/11/2022,324
120,Jordan Brown,24/01/2022,442
121,Gregory Johnson,22/04/2022,33
122,Gregory Simpson,07/05/2022,349
123,Susan Jones,03/09/2022,365
124,Susan Allen,04/12/2022,506
125,Michael Allen,04/05/2022,522
126,Jordan Williams,22/03/2022,245
127,Colleen Smith,13/01/2022,47
128,Andrea Bishop,21/06/2022,140
129,Michael Johnson,01/04/2022,197
130,Jessica Sampson,23/06/2022,191
131,Colleen Rodriguez,31/05/2022,733
132,Susan Smith,28/05/2022,796
133,Gregory Johnson,24/11/2022,842
134,Andrea Jones,12/10/2022,719
135,Gregory Rodriguez,26/12/2022,477
136,Colleen Smith,31/12/2022,533
137,Colleen Bishop,06/02/2022,882
138,Jessica Rodriguez,16/03/2022,719
139,Daniel Allen,29/05/2022,208
140,Daniel Brown,19/02/2022,574
141,Gregory Allen,03/06/2022,274
142,Susan Sampson,11/08/2022,633
143,Jordan Brown,07/11/2022,873
144,Sarah Allen,24/08/2022,16
145,Jessica Johnson,24/01/2022,870
146,Anthony Bishop,18/10/2022,987
147,Michael Johnson,01/07/2022,785
148,Anthony Brown,25/11/2022,309
149,Jordan Jones,22/10/2022,800
150,Michael Simpson,24/11/2022,858
151,Michael Johnson,28/12/2022,478
152,Colleen Simpson,10/10/2022,121
153,Daniel Rodriguez,08/09/2022,616
154,Colleen Jones,21/02/2022,565
155,Anthony Bishop,09/03/2022,216
156,Colleen Williams,03/08/2022,258
157,Jessica Brown,14/10/2022,976
158,Daniel Jones,06/08/2022,487
159,Jordan Simpson,03/08/2022,942
160,Colleen Sampson,29/11/2022,970
161,Daniel Williams,15/12/2022,749
162,Susan Brown,13/12/2022,367
163,Colleen Sampson,27/01/2022,800
164,Jordan Jones,07/12/2022,112
165,Gregory Williams,27/12/2022,916
166,Andrea Jones,07/01/2022,881
167,Colleen Williams,10/10/2022,797
168,Sarah Bishop,18/03/2022,954
169,Daniel Williams,03/09/2022,225
170,Anthony Smith,20/11/2022,73
171,Andrea Jones,16/02/2022,621
172,Jordan Smith,11/12/2022,943
173,Gregory Allen,28/04/2022,37
174,Sarah Bishop,09/01/2022,60
175,Andrea Williams,28/12/2022,665
176,Anthony Rodriguez,07/06/2022,959
177,Michael Sampson,22/04/2022,176
178,Sarah Allen,19/10/2022,935
179,Gregory Smith,16/08/2022,583
180,Gregory Brown,09/11/2022,910
181,Gregory Brown,24/11/2022,325
182,Daniel Smith,19/12/2022,427
183,Gregory Williams,01/05/2022,5
184,Anthony Jones,28/10/2022,135
185,Susan Sampson,03/03/2022,782
186,Colleen Smith,28/04/2022,330
187,Anthony Simpson,06/06/2022,369
188,Andrea Bishop,24/07/2022,828
189,Daniel Smith,29/03/2022,180
190,Anthony Simpson,16/01/2022,270
191,Jessica Bishop,19/08/2022,61
192,Susan Brown,23/01/2022,141
193,Colleen Allen,17/01/2022,158
194,Gregory Jones,08/06/2022,291
195,Andrea Simpson,21/07/2022,656
196,Daniel Smith,29/10/2022,297
197,Gregory Williams,03/05/2022,16
198,Andrea Allen,29/09/2022,202
199,Jessica Allen,11/09/2022,662
200,Colleen Johnson,18/04/2022,847
201,Gregory Brown,10/06/2022,222
202,Daniel Jones,14/09/2022,722
203,Daniel Williams,10/09/2022,574
204,Andrea Brown,12/10/2022,205
205,Gregory Brown,03/10/2022,840
206,Jessica Allen,24/10/2022,924
207,Gregory Simpson,01/11/2022,74
208,Michael Allen,16/03/2022,602
209,Michael Williams,22/10/2022,269
210,Gregory Simpson,26/05/2022,775
211,Daniel Smith,06/04/2022,155
212,Andrea Rodriguez,17/03/2022,783
213,Jessica Williams,03/01/2022,599
214,Michael Johnson,08/02/2022,117
215,Jessica Sampson,17/12/2022,978
216,Susan Williams,08/10/2022,518
217,Sarah Jones,10/10/2022,874
218,Sarah Bishop,26/01/2022,590
219,Susan Allen,01/07/2022,715
220,Jessica Bishop,31/05/2022,934
221,Daniel Rodriguez,30/01/2022,484
222,Michael Simpson,29/11/2022,613
223,Michael Williams,11/01/2022,916
224,Daniel Sampson,24/02/2022,69
225,Andrea Smith,18/05/2022,968
226,Sarah Jones,12/03/2022,389
227,Jessica Smith,23/10/2022,944
228,Daniel Allen,27/12/2022,764
229,Michael Smith,07/04/2022,828
230,Andrea Sampson,02/09/2022,886
231,Sarah Sampson,07/10/2022,335
232,Anthony Johnson,02/03/2022,985
233,Colleen Simpson,22/11/2022,211
234,Susan Brown,21/08/2022,234
235,Jessica Jones,05/11/2022,594
236,Jessica Johnson,06/06/2022,844
237,Jessica Jones,08/11/2022,535
238,Colleen Bishop,27/08/2022,635
239,Andrea Bishop,24/04/2022,924
240,Susan Jones,21/07/2022,475
241,Daniel Smith,21/11/2022,182
242,Anthony Brown,24/03/2022,227
243,Andrea Rodriguez,20/07/2022,205
244,Michael Brown,18/05/2022,849
245,Michael Smith,02/03/2022,279
246,Gregory Williams,27/04/2022,262
247,Anthony Smith,14/10/2022,10
248,Jordan Smith,19/06/2022,264
249,Susan Smith,01/08/2022,345
250,Andrea Johnson,05/05/2022,367
251,Gregory Simpson,09/08/2022,397
252,Colleen Rodriguez,12/05/2022,301
253,Susan Allen,24/06/2022,921
254,Gregory Smith,16/12/2022,801
255,Gregory Smith,04/04/2022,87
256,Michael Simpson,23/02/2022,26
257,Michael Bishop,13/05/2022,446
258,Daniel Williams,28/11/2022,746
259,Jessica Allen,17/08/2022,680
260,Daniel Rodriguez,29/03/2022,132
261,Daniel Sampson,02/01/2022,157
262,Andrea Brown,17/08/2022,699
263,Jordan Simpson,08/05/2022,483
264,Susan Williams,14/10/2022,317
265,Anthony Brown,04/12/2022,82
266,Jordan Bishop,10/03/2022,580
267,Anthony Simpson,12/08/2022,373
268,Daniel Brown,01/08/2022,526
269,Andrea Smith,12/02/2022,766
270,Jessica Sampson,03/10/2022,348
271,Colleen Rodriguez,31/03/2022,949
272,Jordan Jones,15/07/2022,768
273,Colleen Simpson,08/07/2022,688
274,Colleen Sampson,24/08/2022,515
275,Jordan Simpson,15/09/2022,424
276,Andrea Sampson,21/12/2022,457
277,Sarah Rodriguez,08/06/2022,997
278,Daniel Allen,12/08/2022,204
279,Susan Allen,19/02/2022,896
280,Colleen Williams,14/01/2022,864
281,Jordan Johnson,14/08/2022,822
282,Sarah Johnson,21/09/2022,334
283,Sarah Johnson,17/05/2022,422
284,Sarah Jones,13/12/2022,838
285,Anthony Johnson,19/03/2022,631
286,Gregory Jones,15/01/2022,461
287,Colleen Bishop,28/08/2022,320
288,Colleen Smith,15/06/2022,972
289,Anthony Johnson,06/08/2022,38
290,Jordan Sampson,30/12/2022,862
291,Daniel Sampson,05/09/2022,496
292,Michael Brown,26/05/2022,163
293,Jordan Johnson,08/06/2022,60
294,Andrea Sampson,16/04/2022,956
295,Gregory Johnson,04/07/2022,467
296,Gregory Simpson,11/08/2022,786
297,Jordan Smith,13/01/2022,104
298,Sarah Simpson,05/02/2022,970
299,Jordan Sampson,03/06/2022,190
300,Jessica Williams,09/07/2022,236
301,Andrea Williams,29/12/2022,876
302,Daniel Bishop,27/05/2022,445
303,Michael Williams,14/01/2022,860
304,Colleen Jones,27/05/2022,865
305,Susan Rodriguez,18/07/2022,647
306,Jessica Sampson,25/07/2022,993
307,Anthony Jones,29/08/2022,724
308,Daniel Bishop,02/01/2022,570
309,Jessica Smith,30/01/2022,273
310,Jessica Brown,04/05/2022,114
311,Gregory Williams,02/04/2022,312
312,Colleen Allen,26/03/2022,462
313,Gregory Allen,29/03/2022,634
314,Colleen Jones,02/12/2022,67
315,Jessica Simpson,24/01/2022,443
316,Susan Rodriguez,07/01/2022,127
317,Jessica Jones,18/07/2022,153
318,Sarah Sampson,22/07/2022,599
319,Gregory Williams,02/07/2022,493
320,Jordan Rodriguez,12/08/2022,262
321,Susan Jones,22/06/2022,583
322,Sarah Sampson,11/04/2022,914
323,Colleen Simpson,23/05/2022,204
324,Sarah Johnson,16/09/2022,548
325,Daniel Rodriguez,08/11/2022,191
326,Gregory Williams,24/05/2022,794
327,Colleen Bishop,10/05/2022,454
328,Sarah Brown,17/04/2022,331
329,Anthony Rodriguez,29/03/2022,72
330,Michael Bishop,03/02/2022,641
331,Colleen Rodriguez,24/10/2022,614
332,Daniel Allen,03/11/2022,492
333,Anthony Johnson,16/04/2022,505
334,Sarah Smith,01/03/2022,614
335,Sarah Allen,10/04/2022,586
336,Susan Bishop,08/02/2022,465
337,Colleen Allen,16/02/2022,451
338,Daniel Jones,26/02/2022,528
339,Anthony Johnson,30/01/2022,664
340,Michael Sampson,20/01/2022,230
341,Jessica Smith,29/07/2022,14
342,Jordan Jones,18/04/2022,721
343,Susan Simpson,26/01/2022,38
344,Anthony Jones,07/11/2022,883
345,Andrea Williams,11/09/2022,845
346,Colleen Jones,27/08/2022,821
347,Michael Johnson,20/05/2022,921
348,Gregory Sampson,10/06/2022,882
349,Michael Simpson,19/08/2022,259
350,Sarah Bishop,13/02/2022,444
351,Jessica Williams,23/10/2022,155
352,Susan Rodriguez,27/10/2022,136
353,Gregory Smith,23/06/2022,479
354,Michael Smith,12/10/2022,701
355,Susan Sampson,14/06/2022,913
356,Michael Smith,09/03/2022,439
357,Gregory Smith,07/07/2022,247
358,Sarah Williams,06/02/2022,482
359,Andrea Allen,15/03/2022,420
360,Susan Simpson,30/09/2022,329
361,Colleen Williams,29/11/2022,295
362,Michael Sampson,12/08/2022,166
363,Jordan Williams,10/06/2022,774
364,Andrea Williams,26/08/2022,451
365,Michael Johnson,12/01/2022,67
366,Jessica Allen,21/01/2022,179
367,Anthony Johnson,04/11/2022,390
368,Gregory Simpson,22/12/2022,11
369,Andrea Williams,12/04/2022,164
370,Anthony Rodriguez,20/04/2022,267
371,Michael Bishop,28/09/2022,763
372,Jessica Jones,21/02/2022,290
373,Sarah Bishop,07/12/2022,774
374,Sarah Brown,23/04/2022,957
375,Jordan Johnson,07/11/2022,44
376,Jessica Allen,14/11/2022,594
377,Susan Williams,13/12/2022,302
378,Colleen Simpson,12/08/2022,778
379,Sarah Smith,09/04/2022,449
380,Gregory Rodriguez,01/03/2022,843
381,Susan Allen,26/10/2022,659
382,Anthony Rodriguez,31/12/2022,172
383,Anthony Johnson,31/03/2022,452
384,Daniel Brown,12/03/2022,322
385,Anthony Brown,15/09/2022,307
386,Andrea Bishop,24/03/2022,86
387,Susan Allen,20/07/2022,430
388,Daniel Williams,23/10/2022,681
389,Daniel Simpson,04/11/2022,438
390,Andrea Johnson,18/02/2022,732
391,Gregory Allen,16/11/2022,110
392,Sarah Allen,29/05/2022,40
393,Colleen Smith,10/06/2022,556
394,Anthony Jones,31/05/2022,803
395,Anthony Simpson,15/07/2022,99
396,Colleen Jones,16/05/2022,721
397,Michael Jones,18/08/2022,355
398,Andrea Williams,30/11/2022,466
399,Anthony Johnson,16/12/2022,795
400,Gregory Allen,23/03/2022,939
401,Michael Johnson,30/09/2022,532
402,Susan Jones,20/07/2022,759
403,Jessica Jones,01/06/2022,507
404,Michael Johnson,26/12/2022,688
405,Anthony Allen,17/05/2022,721
406,Anthony Jones,25/03/2022,634
407,Daniel Jones,13/12/2022,221
408,Daniel Williams,16/02/2022,81
409,Susan Simpson,17/07/2022,589
410,Anthony Jones,08/01/2022,914
411,Anthony Smith,13/09/2022,306
412,Daniel Bishop,14/09/2022,770
413,Anthony Williams,06/08/2022,57
414,Gregory Rodriguez,21/07/2022,25
415,Daniel Sampson,24/03/2022,601
416,Anthony Brown,04/11/2022,142
417,Jordan Williams,04/04/2022,156
418,Daniel Bishop,10/07/2022,109
419,Michael Rodriguez,19/09/2022,13
420,Daniel Williams,02/11/2022,387
421,Susan Jones,21/05/2022,954
422,Daniel Sampson,11/11/2022,908
423,Susan Smith,08/05/2022,324
424,Susan Brown,02/03/2022,338
425,Daniel Smith,25/05/2022,590
426,Sarah Rodriguez,06/04/2022,127
427,Sarah Bishop,17/07/2022,635
428,Michael Simpson,25/12/2022,77
429,Jordan Simpson,30/10/2022,501
430,Colleen Sampson,26/07/2022,513
431,Anthony Brown,26/02/2022,889
432,Jordan Jones,09/03/2022,418
433,Anthony Bishop,27/05/2022,49
434,Jordan Bishop,06/01/2022,966
435,Anthony Bishop,31/05/2022,356
436,Anthony Smith,14/09/2022,515
437,Jordan Williams,05/11/2022,401
438,Jordan Johnson,18/11/2022,982
439,Sarah Sampson,21/01/2022,3
440,Daniel Sampson,05/09/2022,698
441,Jessica Bishop,31/08/2022,138
442,Sarah Sampson,18/04/2022,452
443,Jordan Rodriguez,24/09/2022,651
444,Michael Rodriguez,15/11/2022,920
445,Sarah Bishop,11/12/2022,553
446,Michael Sampson,13/11/2022,870
447,Jordan Allen,10/08/2022,721
448,Gregory Rodriguez,18/01/2022,709
449,Colleen Smith,25/04/2022,161
450,Susan Smith,01/07/2022,627
451,Susan Johnson,23/03/2022,17
452,Sarah Johnson,07/11/2022,497
453,Andrea Sampson,26/06/2022,477
454,Daniel Jones,30/05/2022,367
455,Colleen Johnson,23/06/2022,197
456,Anthony Smith,01/12/2022,101
457,Jessica Sampson,06/04/2022,630
458,Susan Bishop,09/12/2022,380
459,Colleen Simpson,23/07/2022,987
460,Jessica Rodriguez,27/08/2022,298
461,Jessica Brown,29/08/2022,695
462,Gregory Jones,07/04/2022,465
463,Daniel Brown,05/08/2022,712
464,Jordan Jones,08/12/2022,522
465,Sarah Williams,12/04/2022,437
466,Michael Simpson,12/05/2022,438
467,Andrea Johnson,01/03/2022,148
468,Michael Allen,27/08/2022,276
469,Jordan Bishop,19/06/2022,111
470,Michael Johnson,26/10/2022,730
471,Jessica Allen,18/10/2022,754
472,Anthony Bishop,06/11/2022,474
473,Susan Bishop,15/02/2022,583
474,Jessica Bishop,17/02/2022,929
475,Gregory Johnson,03/03/2022,638
476,Anthony Brown,14/06/2022,152
477,Anthony Williams,14/09/2022,6
478,Andrea Rodriguez,01/10/2022,13
479,Anthony Sampson,28/07/2022,985
480,Jordan Brown,01/11/2022,694
481,Jordan Williams,24/06/2022,632
482,Daniel Sampson,14/07/2022,821
483,Andrea Brown,19/12/2022,507
484,Sarah Simpson,20/12/2022,883
485,Sarah Simpson,27/06/2022,919
486,Gregory Simpson,24/04/2022,780
487,Colleen Brown,16/12/2022,248
488,Daniel Allen,18/07/2022,704
489,Anthony Rodriguez,19/12/2022,207
490,Susan Smith,06/10/2022,652
491,Jordan Bishop,03/02/2022,86
492,Colleen Simpson,03/09/2022,254
493,Susan Johnson,13/06/2022,732
494,Gregory Rodriguez,23/02/2022,109
495,Jessica Jones,30/11/2022,141
496,Sarah Johnson,16/01/2022,397
497,Jessica Bishop,18/06/2022,748
498,Andrea Jones,16/02/2022,895
499,Michael Rodriguez,20/11/2022,708
500,Michael Jones,30/12/2022,391
501,Colleen Simpson,31/10/2022,709
502,Anthony Simpson,04/01/2022,686
503,Jordan Bishop,26/07/2022,127
504,Anthony Allen,27/07/2022,225
505,Jessica Bishop,12/09/2022,967
506,Jordan Sampson,13/03/2022,567
507,Andrea Brown,21/10/2022,379
508,Andrea Smith,02/12/2022,375
509,Colleen Smith,18/06/2022,691
510,Jessica Brown,31/05/2022,730
511,Jordan Allen,09/02/2022,981
512,Daniel Simpson,25/12/2022,963
513,Andrea Simpson,26/12/2022,807
514,Jordan Brown,02/07/2022,623
515,Jessica Sampson,02/05/2022,608
516,Colleen Smith,17/09/2022,208
517,Sarah Rodriguez,09/05/2022,407
518,Colleen Simpson,27/10/2022,657
519,Sarah Sampson,02/09/2022,878
520,Jordan Brown,09/08/2022,774
521,Jessica Allen,19/03/2022,991
522,Sarah Johnson,17/02/2022,226
523,Michael Jones,01/08/2022,705
524,Sarah Smith,05/02/2022,433
525,Susan Brown,18/11/2022,471
526,Sarah Johnson,16/12/2022,874
527,Michael Williams,01/10/2022,915
528,Jessica Johnson,20/08/2022,812
529,Susan Brown,18/01/2022,368
530,Anthony Simpson,21/10/2022,24
531,Gregory Smith,27/06/2022,651
532,Susan Bishop,30/06/2022,941
533,Susan Rodriguez,22/07/2022,166
534,Andrea Brown,22/02/2022,215
535,Anthony Jones,18/01/2022,179
536,Gregory Johnson,08/07/2022,961
537,Anthony Sampson,16/01/2022,334
538,Gregory Brown,07/03/2022,675
539,Anthony Rodriguez,17/10/2022,810
540,Michael Simpson,25/04/2022,856
541,Andrea Johnson,27/07/2022,9
542,Jordan Allen,16/01/2022,425
543,Jordan Rodriguez,01/05/2022,935
544,Jordan Sampson,22/08/2022,479
545,Susan Jones,24/03/2022,713
546,Gregory Bishop,19/12/2022,623
547,Daniel Simpson,15/11/2022,8
548,Michael Johnson,05/05/2022,699
549,Andrea Rodriguez,03/11/2022,884
550,Sarah Smith,18/04/2022,747
551,Andrea Allen,13/02/2022,117
552,Michael Brown,25/07/2022,990
553,Andrea Simpson,19/12/2022,43
554,Anthony Allen,12/02/2022,397
555,Jordan Williams,02/10/2022,617
556,Jordan Johnson,05/05/2022,650
557,Jordan Bishop,14/01/2022,840
558,Jordan Allen,02/09/2022,71
559,Susan Smith,17/06/2022,54
560,Sarah Brown,09/05/2022,560
561,Andrea Jones,11/08/2022,723
562,Susan Jones,22/11/2022,553
563,Jordan Jones,09/10/2022,567
564,Susan Jones,09/04/2022,867
565,Michael Smith,12/06/2022,216
566,Anthony Rodriguez,12/06/2022,277
567,Andrea Allen,11/11/2022,279
568,Anthony Simpson,12/02/2022,83
569,Jessica Smith,19/02/2022,610
570,Andrea Allen,13/06/2022,201
571,Anthony Rodriguez,07/11/2022,641
572,Anthony Smith,21/09/2022,305
573,Susan Simpson,12/11/2022,955
574,Jordan Rodriguez,28/02/2022,569
575,Andrea Jones,27/09/2022,755
576,Susan Johnson,15/01/2022,957
577,Jordan Rodriguez,19/06/2022,310
578,Colleen Sampson,04/02/2022,20
579,Jessica Allen,11/01/2022,127
580,Jordan Smith,23/04/2022,997
581,Daniel Johnson,18/01/2022,761
582,Susan Allen,08/11/2022,910
583,Susan Bishop,17/08/2022,424
584,Daniel Jones,10/08/2022,60
585,Susan Johnson,03/05/2022,314
586,Gregory Johnson,14/12/2022,209
587,Daniel Jones,09/10/2022,724
588,Jessica Simpson,21/08/2022,794
589,Gregory Allen,01/03/2022,416
590,Sarah Jones,06/01/2022,456
591,Jordan Johnson,31/12/2022,757
592,Susan Simpson,23/01/2022,333
593,Michael Sampson,27/08/2022,449
594,Daniel Johnson,04/12/2022,149
595,Anthony Jones,18/09/2022,930
596,Jordan Sampson,23/10/2022,893
597,Michael Bishop,19/01/2022,313
598,Susan Williams,07/04/2022,606
599,Gregory Allen,01/03/2022,91
600,Gregory Smith,27/05/2022,377
601,Anthony Rodriguez,18/04/2022,325
602,Michael Bishop,13/05/2022,718
603,Susan Sampson,01/01/2022,929
604,Gregory Rodriguez,04/10/2022,370
605,Sarah Bishop,28/12/2022,7
606,Anthony Brown,23/07/2022,309
607,Anthony Brown,02/05/2022,561
608,Jordan Jones,30/09/2022,409
609,Gregory Johnson,04/08/2022,932
610,Anthony Williams,19/08/2022,532
611,Michael Bishop,16/11/2022,587
612,Sarah Jones,12/04/2022,28
613,Gregory Allen,06/09/2022,671
614,Gregory Smith,08/05/2022,107
615,Colleen Rodriguez,02/05/2022,813
616,Gregory Smith,17/09/2022,76
617,Sarah Bishop,19/12/2022,750
618,Jordan Williams,17/12/2022,371
619,Michael Sampson,22/05/2022,194
620,Jessica Williams,01/12/2022,348
621,Andrea Jones,23/04/2022,131
622,Gregory Rodriguez,12/03/2022,834
623,Daniel Smith,10/03/2022,115
624,Andrea Williams,26/11/2022,179
625,Susan Johnson,15/04/2022,906
626,Gregory Rodriguez,09/02/2022,54
627,Colleen Smith,20/03/2022,321
628,Michael Johnson,12/12/2022,482
629,Daniel Bishop,16/02/2022,268
630,Gregory Johnson,27/09/2022,45
631,Michael Jones,02/11/2022,806
632,Gregory Williams,21/09/2022,105
633,Michael Rodriguez,03/03/2022,571
634,Gregory Simpson,17/09/2022,250
635,Jessica Smith,12/11/2022,751
636,Jordan Williams,19/12/2022,91
637,Sarah Brown,16/08/2022,650
638,Michael Williams,18/03/2022,746
639,Anthony Allen,03/02/2022,281
640,Jessica Brown,16/06/2022,212
641,Susan Simpson,04/02/2022,198
642,Jordan Bishop,10/01/2022,726
643,Gregory Sampson,11/08/2022,205
644,Daniel Rodriguez,07/11/2022,273
645,Anthony Simpson,08/06/2022,943
646,Sarah Smith,09/10/2022,621
647,Daniel Jones,11/02/2022,783
648,Sarah Simpson,06/10/2022,871
649,Sarah Smith,10/07/2022,696
650,Anthony Sampson,25/07/2022,839
651,Andrea Bishop,04/01/2022,711
652,Daniel Simpson,01/08/2022,94
653,Susan Brown,25/08/2022,591
654,Andrea Rodriguez,12/03/2022,241
655,Anthony Williams,21/08/2022,261
656,Michael Bishop,24/02/2022,376
657,Colleen Bishop,17/12/2022,812
658,Susan Williams,31/01/2022,259
659,Sarah Jones,18/10/2022,94
660,Daniel Simpson,18/06/2022,782
661,Jordan Rodriguez,29/03/2022,322
662,Colleen Jones,01/03/2022,162
663,Daniel Jones,01/07/2022,155
664,Anthony Allen,17/06/2022,179
665,Jessica Bishop,21/09/2022,841
666,Daniel Sampson,18/03/2022,923
667,Andrea Smith,21/09/2022,515
668,Daniel Jones,06/06/2022,722
669,Gregory Smith,11/08/2022,553
670,Jessica Smith,05/10/2022,992
671,Andrea Williams,27/03/2022,942
672,Daniel Simpson,18/03/2022,815
673,Jessica Allen,07/12/2022,438
674,Jessica Williams,22/08/2022,864
675,Jessica Simpson,08/05/2022,228
676,Colleen Smith,08/04/2022,594
677,Susan Smith,04/02/2022,218
678,Michael Bishop,21/09/2022,380
679,Michael Johnson,12/08/2022,168
680,Anthony Allen,21/02/2022,402
681,Anthony Simpson,23/10/2022,434
682,Gregory Bishop,19/12/2022,157
683,Jordan Simpson,28/09/2022,107
684,Susan Sampson,05/08/2022,293
685,Michael Allen,04/10/2022,681
686,Jordan Simpson,01/06/2022,388
687,Anthony Johnson,29/08/2022,403
688,Gregory Rodriguez,21/01/2022,224
689,Jordan Rodriguez,07/07/2022,519
690,Michael Williams,21/04/2022,401
691,Susan Brown,10/01/2022,654
692,Sarah Williams,11/10/2022,444
693,Jessica Allen,04/07/2022,294
694,Daniel Rodriguez,05/08/2022,585
695,Michael Simpson,21/08/2022,596
696,Anthony Jones,26/10/2022,677
697,Jessica Jones,31/07/2022,101
698,Jordan Jones,17/08/2022,23
699,Jessica Sampson,11/10/2022,992
700,Sarah Jones,12/11/2022,30
701,Jessica Johnson,15/03/2022,185
702,Jessica Sampson,02/11/2022,94
703,Sarah Jones,25/04/2022,467
704,Gregory Williams,05/09/2022,581
705,Jordan Simpson,16/11/2022,568
706,Colleen Simpson,06/11/2022,53
707,Colleen Bishop,12/02/2022,658
708,Anthony Brown,28/06/2022,325
709,Daniel Simpson,26/07/2022,240
710,Michael Jones,26/01/2022,356
711,Jessica Johnson,23/06/2022,451
712,Anthony Rodriguez,16/09/2022,771
713,Daniel Allen,13/06/2022,163
714,Susan Jones,16/12/2022,823
715,Gregory Johnson,16/06/2022,770
